index,h1,h2,h3,h4,h5,h6,title1,title2,type,dimension,备注,from,url,content_category,answer,passage_genetate_title,catalogue,count
0,第四篇  细胞的基本生命活动,第十五章  细胞分化,第一节  细胞分化的基本概念,三、细胞分化的可塑性,（一）已分化的细胞可发生去分化,,细胞分化的可塑性,已分化的细胞可发生去分化,"S
","S
",6,quark.book,,,,,,
1,第十二章 唾液腺常见疾病,第二节 舍格伦综合征,,,,,舍格伦综合征的概述,舍格伦综合征的概述,"S
","S
",6,quark.book,,,,,,
2,下篇  胚胎学,第22章  颜面和四肢的发生,插入框：半侧颜面短小畸形,,,,胚胎学之颜面和四肢的发生,半侧颜面短小畸形,"S
","S
",6,quark.book,,,,,,
3,第十九章 脑功能不全,第三节 意识障碍,五、意识障碍防治的病理生理基础,,,,意识障碍的概述,意识障碍防治的病理生理基础,"SP
","PO
",6,quark.book,,,,,,
4,第七章  能量代谢与体温,第一节  能量代谢,一、机体能量的来源与利用,（一）能量的来源,,,机体能量的来源与利用,机体能量的来源,"SP
","PO
",6,quark.book,,,,,,
5,第十五章 摄食与排泄障碍,第一节 神经性厌食,二、病因与发病机制,,,,神经性厌食,神经性厌食的病因与发病机制,"SP
","PO
",6,quark.book,,,,,,
6,绪论,六、解剖学姿势、方位术语与人体的轴与面,（二）方位术语,,,,解剖学姿势、方位术语与人体的轴与面,解剖学方位术语,S,S,6,quark.book,,,,,,
7,第四章  细菌性传染病,第六节  布鲁菌病,【病原学】,,,,布鲁菌病的概述,布鲁菌病的病原学,"SP
","PO
",6,quark.book,,,,,,
8,第一篇  影像诊断学,第一章  影像诊断学总论,第四节  磁共振成像,,,,磁共振成像,磁共振成像,"S
","S
",6,quark.book,,,,,,
9,第三章 水、电解质代谢乱,第一节 水、钠代谢紊乱,五、水肿,,,,水、钠代谢紊乱的概述,水肿的概述,"S
","S
",6,quark.book,,,,,,
10,第十七章免疫性疾病患儿的护理,第七节 皮肤黏膜淋巴结综合征,,,,,皮肤黏膜淋巴结综合征的概述,皮肤黏膜淋巴结综合征的概述,"S
","S
",6,quark.book,,,,,,
11,第九篇  理化因素所致疾病,第六章  淹溺,【临床表现】,,,,淹溺,淹溺的临床表现,"SP
","PO
",6,quark.book,,,,,,
12,第七章  内分泌与代谢性疾病病人的护理,第六节  嗜铬细胞瘤,【其他护理诊断/问题】,,,,嗜铬细胞瘤的概述,嗜铬细胞瘤的其他护理诊断/问题,"SP
","PO
",6,quark.book,,,,,,
13,第五章  队列研究,第一节  概述,一、概念与基本原理,（一）概念,,,队列研究的概念与基本原理,队列研究的概念,"SP
","PO
",6,quark.book,,,,,,
14,第十四章静脉输液与输血,第二节 静脉输血,八、输血反应和意外的监测与报告,,,,静脉输血的概述,静脉输血之输血反应和意外的监测与报告,"S
","S
",6,quark.book,,,,,,
15,第六章  脊柱区,第二节  层次结构,三、肌层,（三）深层肌,,,脊柱区的层次结构之肌层,脊柱区的层次结构之深层肌,S,"S
",6,quark.book,,,,,,
16,第四章  细菌性传染病,第四节  霍乱,【诊断】,,,,霍乱的概述,霍乱的诊断,"SP
","PO
",6,quark.book,,,,,,
17,第五章  营养和营养障碍疾病,第二节  婴儿喂养,一、母乳喂养,（一）人乳的特点,,,母乳喂养,人乳的特点,"SP
","PO
",6,quark.book,,,,,,
18,第二十一章计划生育妇女的护理,第二节 常用避孕方法及护理,二、激素避孕,,,,常用避孕方法及护理,激素避孕,S,S,6,quark.book,,,,,,
